,logFC,AveExpr,t,P.Value,adj.P.Val,B
AL606469.1,-3.26639990813783,0.707923138981749,-42.4693775151436,2.30138880235234e-174,1.35639253233042e-169,387.495309403451
SERTM1,-3.6305000108673,0.742461283398036,-40.4101145448856,1.74524316024445e-165,5.14305706892437e-161,367.231386054204
AC095050.1,-1.61032086303317,0.291886878046538,-37.6666848639624,2.69281140264341e-153,5.29029728163324e-149,339.395253832989
ANGPT4,-2.09567550029434,0.530673025248109,-37.315231259412,1.04973657191308e-151,1.54673435188532e-147,335.760216060715
LINC01996,-2.93579590649579,0.705989770191305,-36.26145065407,6.77258763988225e-147,7.9832554063876e-143,324.768151930325
RS1,-2.11612436814213,0.554138594728833,-35.1694435290337,7.53340748497263e-142,7.40006617248861e-138,313.231905088041
SH3GL3,-2.31595166771965,0.539624011572874,-35.0226239121801,3.6325552424563e-141,3.05850772685556e-137,311.669720899917
GPM6A,-3.93267882083031,1.19431800060611,-34.8495905565183,2.32729637341235e-140,1.71457742070221e-136,309.825260062659
LINC02016,-2.95048279295249,0.637260093777407,-34.4915008366793,1.09920939110997e-138,7.19835589924882e-135,305.996698425002
C10orf67,-2.18050734957478,0.57040554035435,-34.1560766160593,4.12372561192814e-137,2.43044140115821e-133,302.396527925352
SLC6A4,-5.1118473127549,1.19392109944495,-33.8009476319526,1.94174637142431e-135,1.04038770580915e-131,298.570306005233
AC135012.3,-1.00404282231304,0.208164083210769,-32.8897789610078,4.06618877929145e-131,1.997108618949e-127,288.685853905763
CD300LG,-3.02235918863639,0.687101386470483,-32.0253645852399,5.56854306174239e-127,2.52460608440748e-123,279.221283399054
CD5L,-1.81394236763414,0.448259176883346,-31.954068363163,1.22602740513558e-126,5.16140022884863e-123,278.436955001439
AC128709.3,-1.88842162777912,0.396308586855946,-31.8543886355898,3.69921904772815e-126,1.45349714823335e-122,277.339450827842
SGCG,-2.7435453307535,0.969978573692871,-31.7952165945945,7.12910179190756e-126,2.62609375882155e-122,276.687438042907
AC008763.3,-1.09507330411921,0.227401273372435,-31.1951694481425,5.64192916648088e-123,1.9560236542003e-119,270.054358762682
LANCL1-AS1,-2.87627246055465,1.10787761214244,-30.8663984300763,2.2199260998254e-121,7.26877802619498e-118,266.403975674348
AL445307.1,-1.50030697561137,0.423991848803567,-30.7159357681363,1.19628858016556e-120,3.71088717567358e-117,264.729661302192
GYPE,-2.1696755856979,0.875081028857157,-30.5599998493048,6.87032204222439e-120,2.02461520262311e-116,262.992017789416
ITLN2,-5.02586354128514,1.48371849686245,-30.4739132146586,1.80517292137618e-119,5.06634674476519e-116,262.031679542049
AL354714.1,-1.72587082468062,0.348787843522932,-30.0522496132249,2.07018789164549e-117,5.30490147642618e-114,257.317224492427
PTPRQ,-1.38764633084702,0.301156635577507,-29.9827359135104,4.53147135922536e-117,1.11281607904177e-113,256.538354460728
WNT3A,-3.2634697361931,1.06497747880756,-29.7753186012704,4.70544035707895e-116,1.10931697506208e-112,254.211587231034
LINC01082,-2.1265306912734,0.582981556485101,-29.5155598486608,8.86908464290541e-115,2.01048504109061e-111,251.291944516713
RSPO1,-2.30931301624459,0.850408602693418,-28.8150624080532,2.51188725767818e-111,5.48317078492728e-108,243.38789006168
MYOC,-2.41853337133204,0.557848696852647,-28.7237723108395,7.09970243864423e-111,1.49443665117433e-107,242.354646471237
OVCH1,-1.72734682488055,0.455805390591111,-28.7187845905832,7.51454695260128e-111,1.52721506307729e-107,242.298173756546
SCUBE1,-2.738617200552,1.06558299949393,-28.6958396825422,9.75819555958498e-111,1.91709509963607e-107,242.038356265637
CHRM1,-2.05389544978651,0.463787281451474,-28.3734260940316,3.85257643122542e-109,7.32461773237303e-106,238.382831351225
RTKN2,-4.07552631480618,2.73378845221366,-28.2152879139627,2.34464842851756e-108,4.318402783749e-105,236.586742743026
LINC00968,-2.40283017143233,0.964491762552264,-28.0583278749686,1.41059618715647e-107,2.51932479026145e-104,234.802060298235
