"","p.value","HR","Low 95%CI","High 95%CI","coef"
"UBE2T",0.00108324503727979,1.24888170809269,1.09303120155764,1.4269542521621,0.22224851736495
"TOP2A",0.00275908298294367,1.17460228659544,1.05713059777922,1.30512780026766,0.160929610805763
"TEDC2",0.00141253981867132,1.28626448622418,1.10204795017556,1.50127435767018,0.2517422704733
"CDC20",0.000257839011286255,1.22668414968336,1.09936527042828,1.3687479890084,0.204314715870421
"IQGAP3",0.00590183374794721,1.19205821900139,1.05191853910039,1.35086771900039,0.175681408894571
"SAPCD2",0.000859807460698607,1.24361690167019,1.0939633735611,1.41374294194628,0.218023990031773
"KIF20A",1.62723547255508e-05,1.35068506160446,1.17813430198896,1.54850778265392,0.300611916779929
"CCNB1",5.07750616772738e-06,1.3605407587888,1.19195470153958,1.55297106000309,0.307882237475833
"CDCA8",0.00101305961088242,1.23785399534079,1.08996016534584,1.40581515040503,0.213379231395294
"UBE2C",0.000613540085385312,1.18163695130034,1.07401819674944,1.30003931861138,0.166900724004309
"PLK1",2.49935111277704e-06,1.35676338217113,1.19493457471356,1.54050850494614,0.305101997315077
"ZWINT",0.000661667177951227,1.26259321744456,1.10401418437896,1.44395031811459,0.233167715041318
"BIRC5",0.000249832624758487,1.23136902495157,1.10158147971734,1.37644804631178,0.208126578843341
"SPAG5",0.000812563156790219,1.23904018500909,1.09294865608001,1.40465937857832,0.214337035542434
"KIF2C",0.000351465541505402,1.23306818871173,1.09923688948277,1.38319335218839,0.209505525744471
"CCNB2",9.57359927251651e-05,1.28263084457284,1.13185474958614,1.45349205280199,0.248913315917533
"NEK2",2.64969221340963e-05,1.28554759322994,1.14340833752618,1.44535644897853,0.251184770165606
"TPX2",2.25504235465514e-05,1.25472289221496,1.12972360184468,1.39355284219753,0.226914745187206
"NUSAP1",0.000317430387844321,1.27404616773671,1.11668061208382,1.45358808952149,0.242197794905237
"PPAT",0.00538465155423071,1.29986738127033,1.08065307604656,1.56355008498379,0.26226224485623
"CEP55",0.000141367452353629,1.26585647026606,1.12113156094804,1.4292636646135,0.235748944677175
"UHRF1",0.00053699753295448,1.27303511786666,1.11039980742106,1.45949089732437,0.241403905892845
"KIF4A",3.25077461764839e-05,1.28503812775367,1.14167064117977,1.44640926219686,0.250788389310627
"RRM2",8.17430281743854e-06,1.30666143849227,1.1617729492908,1.46961944318375,0.267475363972383
"HJURP",1.26403145641616e-05,1.29843764838345,1.15480178314513,1.45993914396967,0.261161732780195
"AURKB",0.00175755717480913,1.19358215353473,1.06832636382469,1.33352354250276,0.176958998558269
"PSMG3",0.00894008391440216,1.30568712897726,1.0690418975133,1.59471661750812,0.266729437818177
"MYBL2",0.00230607175965307,1.15034530251417,1.05125896003733,1.25877102152777,0.140062160361028
"BUB1B",0.000261956072219984,1.26036880301665,1.11310695389688,1.42711310360279,0.231404378941727
"DLGAP5",4.30160343204624e-06,1.32152479309679,1.17339862007046,1.48834995107174,0.27878621621561
"ANLN",2.27320148205641e-07,1.33446387686658,1.19633535079849,1.48854068173543,0.288529620831096
"CDC6",0.000426731187430781,1.24161325451113,1.10077408099113,1.40047217716979,0.216411545737074
"NUF2",0.00275568172621852,1.19544374560599,1.06358455425106,1.34365034091228,0.178517451690745
"ASF1B",0.00164074429724169,1.25704108687313,1.09019698956202,1.44941905840522,0.228760615528283
"TK1",2.36012267504944e-05,1.32463786081282,1.1627701514829,1.50903896187997,0.281139109487395
"MELK",0.000454514701146586,1.2227179766878,1.09272595519877,1.36817400868232,0.201076230511717
"KIF11",0.000142165994514033,1.29572618315405,1.13382964392425,1.48073950148294,0.259071297177138
"CENPF",0.000320268242406265,1.2367048444761,1.10156445517718,1.38842431340494,0.212450459018734
