Tag	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene	pct.diff
APOC1	0	2.21038751991398	0.97	0.328	0	Monocytes/macrophages	APOC1	0.642
LYZ	0	2.10892682557219	0.986	0.509	0	Monocytes/macrophages	LYZ	0.477
CCL18	0	2.08708811483684	0.589	0.164	0	Monocytes/macrophages	CCL18	0.425
MRC1	0	2.0778817687573	0.93	0.307	0	Monocytes/macrophages	MRC1	0.623
C1QB	0	2.01215476135696	0.969	0.367	0	Monocytes/macrophages	C1QB	0.602
FTL	0	1.95550850577855	1	0.987	0	Monocytes/macrophages	FTL	0.013
APOE	0	1.91547321910503	0.932	0.314	0	Monocytes/macrophages	APOE	0.618
AC020656.1	0	1.90687970276384	0.815	0.252	0	Monocytes/macrophages	AC020656.1	0.563
GPNMB	0	1.89442666997225	0.945	0.238	0	Monocytes/macrophages	GPNMB	0.707
FN1	0	1.82966411020004	0.723	0.22	0	Monocytes/macrophages	FN1	0.503
CTSB	0	1.79822298058315	0.993	0.617	0	Monocytes/macrophages	CTSB	0.376
C1QA	0	1.79377415278299	0.957	0.334	0	Monocytes/macrophages	C1QA	0.623
MARCO	0	1.7769653601903	0.715	0.135	0	Monocytes/macrophages	MARCO	0.58
FBP1	0	1.75995147072365	0.873	0.541	0	Monocytes/macrophages	FBP1	0.332
ACP5	0	1.73340494447136	0.905	0.287	0	Monocytes/macrophages	ACP5	0.618
CTSD	0	1.69433372884747	0.986	0.688	0	Monocytes/macrophages	CTSD	0.298
MS4A7	0	1.69254952536511	0.914	0.176	0	Monocytes/macrophages	MS4A7	0.738
MSR1	0	1.62893758843153	0.851	0.15	0	Monocytes/macrophages	MSR1	0.701
TYROBP	0	1.62309373063941	0.996	0.494	0	Monocytes/macrophages	TYROBP	0.502
C1QC	0	1.61061528217329	0.94	0.232	0	Monocytes/macrophages	C1QC	0.708
VSIG4	0	1.55059558402857	0.847	0.152	0	Monocytes/macrophages	VSIG4	0.695
GRN	0	1.5433798351186	0.979	0.585	0	Monocytes/macrophages	GRN	0.394
LPL	0	1.53669743542592	0.745	0.133	0	Monocytes/macrophages	LPL	0.612
RETN	0	1.52431238333906	0.522	0.175	0	Monocytes/macrophages	RETN	0.347
PSAP	0	1.52212610886153	0.996	0.815	0	Monocytes/macrophages	PSAP	0.181
CTSS	0	1.50025491103108	0.992	0.698	0	Monocytes/macrophages	CTSS	0.294
MCEMP1	0	1.48637183555159	0.607	0.078	0	Monocytes/macrophages	MCEMP1	0.529
FABP4	0	1.48259514060213	0.362	0.032	0	Monocytes/macrophages	FABP4	0.33
INHBA	0	1.47475101007752	0.5	0.062	0	Monocytes/macrophages	INHBA	0.438
ALOX5AP	0	1.46288120350984	0.902	0.326	0	Monocytes/macrophages	ALOX5AP	0.576
FCGR3A	0	1.43542065719224	0.806	0.117	0	Monocytes/macrophages	FCGR3A	0.689
FABP5	0	1.42901456120354	0.898	0.351	0	Monocytes/macrophages	FABP5	0.547
CYBB	0	1.42711787600034	0.944	0.276	0	Monocytes/macrophages	CYBB	0.668
IGSF6	0	1.42462066177032	0.973	0.318	0	Monocytes/macrophages	IGSF6	0.655
TREM2	0	1.41446496550278	0.893	0.186	0	Monocytes/macrophages	TREM2	0.707
CTSC	0	1.40263550032609	0.935	0.511	0	Monocytes/macrophages	CTSC	0.424
S100A9	0	1.40110139085819	0.811	0.218	0	Monocytes/macrophages	S100A9	0.593
CSTB	0	1.38539315847581	0.967	0.709	0	Monocytes/macrophages	CSTB	0.258
CD68	0	1.36084981976785	0.856	0.137	0	Monocytes/macrophages	CD68	0.719
FCER1G	0	1.35453938548533	0.975	0.358	0	Monocytes/macrophages	FCER1G	0.617
CTSL	0	1.3458744230263	0.785	0.197	0	Monocytes/macrophages	CTSL	0.588
LAPTM5	0	1.30727751810105	0.961	0.313	0	Monocytes/macrophages	LAPTM5	0.648
FTH1	0	1.28393215628408	1	0.988	0	Monocytes/macrophages	FTH1	0.012
MS4A4A	0	1.22849133305802	0.755	0.099	0	Monocytes/macrophages	MS4A4A	0.656
GCHFR	0	1.21803995444467	0.725	0.248	0	Monocytes/macrophages	GCHFR	0.477
TSPO	0	1.21553462850533	0.943	0.582	0	Monocytes/macrophages	TSPO	0.361
LIPA	0	1.20757272421243	0.739	0.207	0	Monocytes/macrophages	LIPA	0.532
CD52	0	1.19420566936966	0.896	0.483	0	Monocytes/macrophages	CD52	0.413
CAPG	0	1.19190478395685	0.937	0.413	0	Monocytes/macrophages	CAPG	0.524
OLR1	0	1.18912197344072	0.83	0.185	0	Monocytes/macrophages	OLR1	0.645
NCF2	0	1.18509633004445	0.859	0.198	0	Monocytes/macrophages	NCF2	0.661
DAB2	0	1.16712506457356	0.915	0.438	0	Monocytes/macrophages	DAB2	0.477
