"","Low","High"
"SMAD5 (214g)",0.648450678618516,0.175674960995302
"STAT1_extended (410g)",0.664601194060185,0.183210844202038
"STAT1 (269g)",0.665293757705882,0.182121763146349
"CEBPD_extended (119g)",0.684688510672266,0.187494285030517
"CEBPD (18g)",0.665025115040027,0.186230327828903
"RAD21_extended (1502g)",0.702235793272698,0.184670564726638
"UQCRB (1160g)",0.702928766013628,0.185807248950613
"YY1_extended (1174g)",0.701315201577757,0.185291571467649
"YY1 (717g)",0.701644660164316,0.184977753095573
"MAFB_extended (68g)",0.569269998165706,0.177417118564138
"FOSB (19g)",0.521467626749713,0.168091302705993
"FOS (11g)",0.561151450738914,0.176740863910236
"JUNB_extended (154g)",0.682298338201902,0.186081232263479
"JUN_extended (47g)",0.664115401609081,0.187228698827535
"JUN (21g)",0.651065166719933,0.186039552086235
"FOS_extended (44g)",0.650725030158781,0.18673111098576
"JUNB (30g)",0.637016246581557,0.185782770413397
"ATF3_extended (152g)",0.649584429038045,0.185089760020287
"ATF3 (85g)",0.639603684339275,0.18340292806552
"FOSB_extended (75g)",0.603374127821338,0.179543566922216
"EGR1_extended (34g)",0.594842258262479,0.180468835807791
"KLF10 (13g)",0.479978433091309,0.16192280110773
"CEBPB_extended (94g)",0.666443456563994,0.183007208427541
"CEBPB (56g)",0.654978643518008,0.180106125314252
"ETV1_extended (29g)",0.661373264773937,0.181540721717602
"ELF3_extended (291g)",0.698358355633987,0.184235315339899
"ETS2_extended (197g)",0.69015734782493,0.181224157165253
"BHLHE40_extended (31g)",0.663606598288899,0.177137690401362
"XBP1_extended (478g)",0.690004450154145,0.181355128821841
"XBP1 (269g)",0.688873875834776,0.181114244652751
"ATF4_extended (82g)",0.683104625378709,0.181599549758886
"ATF4 (35g)",0.655546075364253,0.180032099869147
"CREB3L1_extended (108g)",0.632636817905474,0.172959535768519
"CREB3L1 (43g)",0.622313480097553,0.170285131193752
"EP300_extended (31g)",0.583799966921183,0.158570930080802
"CEBPA_extended (30g)",0.61892867687121,0.171338181065668
"CEBPA (18g)",0.587412628122832,0.165453486511462
"IRF1_extended (111g)",0.623997774473527,0.181505183619912
"IRF1 (77g)",0.614950595200876,0.181225962139187
"NR2F6_extended (18g)",0.380568353771433,0.123298230848845
"TFF3_extended (18g)",0.426998862356241,0.142614691505616
"STAT2_extended (46g)",0.463284178393343,0.150418433595251
"DDIT3_extended (65g)",0.60406130452639,0.17546045317724
"DDIT3 (25g)",0.471025887934931,0.155567530954839
"TAF7_extended (534g)",0.702533760586852,0.184855286771744
"BCLAF1_extended (2226g)",0.706672854347436,0.184276178738847
"BCLAF1 (956g)",0.705473758975115,0.184331315710778
"SOX9_extended (21g)",0.587892597127573,0.170174903398519
"CREB5_extended (21g)",0.57065964365499,0.174553331566058
"KLF6_extended (19g)",0.618467261416822,0.180386104841657
"SOX4_extended (18g)",0.661216448185432,0.181356109534492
"FOXQ1_extended (15g)",0.367322272618278,0.12951342470765
"SIX1 (18g)",0.414268952209898,0.130227821573337
"KDM5A_extended (67g)",0.621641554750663,0.165702754290018
"CUX1_extended (186g)",0.66631253770533,0.173860443932888
"NFIC_extended (15g)",0.564600487639233,0.152393819964017
"FOXO3_extended (106g)",0.647065691488657,0.170859463457131
"FOXO3 (52g)",0.62632039441514,0.170650376792507
"ZBTB7A_extended (76g)",0.598705773786192,0.164295162557504
"ZBTB7A (15g)",0.546409251062627,0.159544671618271
"NFYC_extended (31g)",0.383169381165188,0.139291909252718
"NFYC (22g)",0.34577730740987,0.131966112409452
"TAF1_extended (49g)",0.45637215505505,0.140127529772138
"TAF1 (31g)",0.392111110645166,0.131180114247585
"NFKB1_extended (24g)",0.385867906281464,0.123565325865435
"NFKB1 (20g)",0.350171682286326,0.118248169100028
"SP1_extended (44g)",0.502955810620418,0.145032316203696
"SP1 (39g)",0.475948855602437,0.141404090290188
"GABPA_extended (30g)",0.438319455575485,0.133842773426116
"GABPA (16g)",0.328856528804682,0.114591974648912
"POLR2A_extended (40g)",0.433937781959866,0.140118368744503
"POLR2A (27g)",0.38568892556055,0.136532473843849
"ZMIZ1_extended (38g)",0.401377442462156,0.131083172021737
"ZMIZ1 (16g)",0.28709885355208,0.109011552284927
"ARNTL_extended (12g)",0.281126866695596,0.110837784787289
"NR3C1_extended (48g)",0.607926959744418,0.170108797003084
"CEBPZ_extended (22g)",0.463660981117754,0.148836598915608
"SMARCB1_extended (17g)",0.30848283584699,0.121218821072127
"ELF1_extended (20g)",0.415571827214704,0.137936074393929
"SMAD1 (17g)",0.278508790810173,0.108680224679541
"CREB1_extended (12g)",0.29381419195368,0.103815428290368
"TP53_extended (11g)",0.254424540983625,0.102574525178384
"IRF2_extended (39g)",0.55002710218569,0.163428700473653
"TCF12_extended (10g)",0.258754162991405,0.0953910719437137
"ELF2_extended (160g)",0.647079718425086,0.172259544013005
"ELF2 (96g)",0.609122610505811,0.169086317428495
"HCFC1_extended (36g)",0.421181816841121,0.130415677261536
"CTCF_extended (46g)",0.484384141117337,0.143477641957694
"REST_extended (185g)",0.679245958719605,0.17726232050171
"MXI1_extended (90g)",0.588495254735685,0.166457164553951
"UBTF_extended (70g)",0.603768101773933,0.166584321674421
"RELA_extended (21g)",0.283184166492279,0.0997090149087718
"XRCC4_extended (38g)",0.413965410842258,0.140461228648767
"IRF3_extended (26g)",0.417785191173493,0.134720986266073
"CREB3L2_extended (13g)",0.31412199976993,0.105462839624584
"CHD1 (11g)",0.289687684203289,0.0993883873542245
"SMARCC1_extended (31g)",0.612056001410256,0.165127656510523
"CLOCK_extended (13g)",0.294151718312573,0.0953059289661603
"ETV6_extended (25g)",0.395383497322536,0.127566640995104
"MAZ_extended (12g)",0.201082791734072,0.088785366996359
"MAX_extended (43g)",0.421465103881029,0.134135376666407
"MAX (33g)",0.386141241497719,0.129033940564757
"BACH1_extended (34g)",0.40533107398966,0.13665855843603
"BHLHE41_extended (95g)",0.608499486139557,0.165690016109582
"BHLHE41 (11g)",0.28805651904613,0.107489383181469
